Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Kazakhstan,2135,140,19,0,515,1601,32,114,1,139207,7414,Asia,KAZ,70.27724184,5.809,65.0,11165.5,21.0,7.391846271,19.0,80.0,57.0,57.0,88.0
Gabon,166,10,1,0,24,141,2,75,0,572,257,Africa,GAB,52.58271379,4.7989999999999995,39.070422535211264,9077.0,15.0,3.563907468,95.0,119.0,103.0,143.0,108.0
Iceland,1785,7,10,0,1462,313,5,5231,29,44468,130312,Europe,ISL,26.60382735,7.494,39.070422535211264,52103.2,21.9,14.79509256,1.0,7.0,45.0,3.0,13.0
Iraq,1631,29,83,0,1146,402,0,41,2,62880,1563,Asia,IRQ,71.42851046,4.437,80.0,5510.8,30.4,3.323599663,124.0,130.0,66.0,73.0,107.0
Ghana,1154,112,9,0,99,1046,4,37,0,68591,2207,Africa,GHA,31.57369025,4.996,64.0,1807.1,10.9,3.068898007,132.0,91.0,117.0,52.0,121.0
Guatemala,316,22,8,1,24,284,3,18,0,7200,402,North America,GTM,53.75677762,6.436,61.0,3160.01,21.2,4.812072508,78.0,25.0,82.0,78.0,85.0
Honduras,510,16,46,0,30,434,10,51,5,2535,256,North America,HND,57.52052641,5.86,39.070422535211264,2203.95,21.4,4.690617659,84.0,39.0,79.0,51.0,57.0
Lebanon,682,5,22,1,113,547,26,100,3,22853,3348,Asia,LBN,63.76515621,5.197,78.0,6249.8,32.0,7.002368134,89.0,136.0,133.0,63.0,66.0
Jamaica,233,5,6,0,27,200,0,79,2,1936,654,North America,JAM,54.82797146,5.89,39.070422535211264,4841.65,24.7,8.796642551,28.0,49.0,130.0,119.0,55.0
Jordan,435,7,7,0,315,113,5,43,1,35000,3430,Asia,JOR,75.71499956,4.906000000000001,77.0,3236.9,35.5,3.8464903980000003,88.0,88.0,73.62616822429906,118.0,63.0
Kenya,303,7,14,0,74,215,2,6,0,14704,273,Africa,KEN,30.459425,4.5089999999999995,39.070422535211264,1202.1,7.1,2.3391866119999998,123.0,72.0,105.0,26.0,106.0
Mauritius,329,1,9,0,261,59,3,259,7,9755,7670,Africa,MUS,85.71399989,5.888,39.070422535211264,10578.6,10.8,11.47417307,54.0,40.0,96.0,37.0,73.0
Mali,293,35,17,3,73,203,0,14,1,2023,100,Africa,MLI,80.51545368,4.39,39.070422535211264,777.9,8.6,2.5072297580000003,112.0,110.0,107.0,138.0,142.0
