Country,Total Cases,New Casesd,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop ,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018
Norway,7275,34,187,5,32,7056,54,1342,34,148656,27421,Europe,NOR,48.08402425,7.554,4,92121.4
Pakistan,10076,511,212,11,2156,7708,58,46,1,118020,534,Asia,PAK,61.75781222,5.653,73,1196.6
Panama,4821,163,141,5,231,4449,94,1117,33,21902,5076,North America,PAN,44.73774675,6.321,70,11723.93
Paraguay,213,5,9,1,62,142,1,30,1,6292,882,South America,PRY,46.05294038,5.743,,5394.46
Peru,19250,1413,530,46,7027,11693,396,584,16,170400,5168,South America,PER,70.42953338,5.697,52,6453.92
Philippines,6710,111,446,9,693,5571,1,61,4,68532,625,Asia,PHL,53.30066629,5.631,37,3022
Poland,10169,313,426,25,1513,8230,160,269,11,238799,6310,Europe,POL,43.2617036,6.182,24,16639.7
Portugal,21982,603,785,23,1143,20054,207,2156,77,284741,27925,Europe,PRT,43.38121879,5.693,19,23737.7
Qatar,7141,608,10,1,689,6442,37,2479,3,70012,24301,Asia,QAT,55.23917588,6.374,32,63222.1
Romania,9710,468,524,26,2406,6780,288,505,27,106357,5529,Europe,ROU,41.32987125,6.07,38,11534.9
Russia,57999,5236,513,57,4420,53066,700,397,4,2250000,15418,Europe,RUS,37.82816899,5.648,36,11729.1
Rwanda,153,3,,,84,69,,12,,6959,537,Africa,RWA,47.29126397,3.334,,826.3
Saudi Arabia,12772,1141,114,5,1812,10846,82,367,3,200000,5745,Asia,SAU,51.89474303,6.375,39,20912
Serbia,7114,224,134,4,1025,5955,101,814,15,48636,5566,Europe,SRB,43.46604636,5.603,71,6880.5
Sierra Leone,61,11,,,6,55,,8,,,,Africa,SLE,65.30571416,4.374,,474.1
Singapore,10141,1016,12,1,896,9233,27,1733,2,94796,16203,Asia,SGP,37.49441432,6.262,18,58247.9
Slovenia,1353,9,79,2,205,1069,24,651,38,44435,21374,Europe,SVN,80.13902425,6.118,42,26758.9
South Africa,3635,170,65,7,1055,2515,36,61,1,133774,2256,Africa,ZAF,40.81547628,4.722,66,7433.6
South Korea,10694,11,238,1,8277,2179,55,209,5,577959,11273,Asia,KOR,56.05965876,5.895,23,26761.9
Spain,208389,4211,21717,435,85915,100757,7705,4457,464,930230,19896,Europe,ESP,55.37414555,6.354,21,33146.4
Sri Lanka,330,20,7,,105,218,2,15,0,7393,345,Asia,LKA,52.25121619,4.366,56,3936.5
Sweden,16004,682,1937,172,550,13517,515,1585,192,94500,9357,Europe,SWE,40.3450005,7.343,2,57232.1
Switzerland,28268,205,1509,31,19900,6859,386,3266,174,227554,26293,Europe,CHE,60.91083145,7.48,5,78816.2
Tanzania,284,30,10,,11,263,7,5,0,,,Africa,TZA,45.38531345,3.231,60,957.1
Thailand,2826,15,49,1,2352,425,61,40,1,142589,2043,Asia,THA,63.89651143,6.008,30,6361.6
Tunisia,909,8,38,,190,681,32,77,3,18861,1596,Africa,TUN,74.39224449,4.461,68,4402
Turkey,98674,3083,2376,117,16477,79821,1814,1170,28,750944,8904,Asia,TUR,47.93865099,5.373,43,15026.7
Uganda,63,2,,,45,18,,1,,14761,323,Africa,UGA,45.46849405,4.189,,709.7
Ukraine,6592,467,174,13,424,5994,45,151,4,67520,1544,Europe,UKR,78.09739851,4.332,59,3110.2
United Arab Emirates,8238,483,52,6,1546,6640,1,833,5,790000,79875,Asia,ARE,38.46285672,6.825,26,40782.4
United Kingdom,133495,4451,18100,763,,115051,1559,1966,267,559935,8248,Europe,GBR,34.17129884,7.054,12,42986
United States,845822,27078,47479,2161,83917,714426,14014,2555,143,4317994,13045,North America,USA,40.44306774,6.892,17,54541.7
Uruguay,543,,12,,324,207,10,156,3,13923,4008,South America,URY,61.68562586,6.293,45,14617.5
Uzbekistan,1716,38,7,1,450,1259,8,51,0,150000,4482,Asia,UZB,39.81862086,6.174,,2026.5
Venezuela,288,,10,,122,156,4,10,0,347236,12211,South America,VEN,60.41541608,4.707,,16054.49
Vietnam,268,,,,223,45,8,3,,206253,2119,Asia,VNM,64.02554262,5.175,35,1964.5
Zambia,74,4,3,,35,36,1,4,0,2586,141,Africa,ZMB,28.74436313,4.107,,1672.3
Zimbabwe,28,,3,,2,23,,2,0,4159,280,Africa,ZWE,73.81235179,3.663,,1322.3
Taiwan,426,1,6,,236,184,,18,0,56853,2387,Asia,TWN,32.39302332,6.446,,
Syria,42,,3,,6,33,,2,0,,,Asia,SYR,43.04679988,3.462,,
South Sudan,4,,,,,4,,0,,,,Africa,SSD,50.85396383,2.853,,
